Product_ID,Product_Name,Unit_Price,Category_ID,Category_Name,Department_ID,Department_Name,Status
564,Nike Men's Deutschland Weltmeister Winners Bl,30.0,26,Girls' Apparel,5,Golf,0
565,adidas Youth Germany Black/Red Away Match Soc,70.0,26,Girls' Apparel,5,Golf,0
567,adidas Men's Germany Black Crest Away Tee,25.0,26,Girls' Apparel,5,Golf,0
572,TYR Boys' Team Digi Jammer,39.99000168,26,Girls' Apparel,5,Golf,0
607,Garmin Approach S3 Golf GPS Watch,249.9900055,41,Trade-In,6,Outdoors,0
625,Nike Men's Kobe IX Elite Low Basketball Shoe,199.9900055,29,Shop By Sport,5,Golf,0
627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,29,Shop By Sport,5,Golf,0
642,Columbia Men's PFG Anchor Tough T-Shirt,30.0,29,Shop By Sport,5,Golf,0
646,Merrell Women's Grassbow Sport Hiking Shoe,99.98999786,30,Men's Golf Clubs,6,Outdoors,0
647,Merrell Women's Siren Mid Waterproof Hiking B,134.9900055,30,Men's Golf Clubs,6,Outdoors,0
652,Merrell Women's Grassbow Sport Waterproof Hik,129.9900055,30,Men's Golf Clubs,6,Outdoors,0
666,Merrell Men's All Out Flash Trail Running Sho,109.9899979,30,Men's Golf Clubs,6,Outdoors,0
671,Cleveland Golf Collegiate My Custom Wedge 588,209.9900055,31,Women's Golf Clubs,6,Outdoors,0
677,TaylorMade White Smoke IN-12 Putter,99.98999786,31,Women's Golf Clubs,6,Outdoors,0
691,MDGolf Pittsburgh Penguins Putter,79.98999786,31,Women's Golf Clubs,6,Outdoors,0
703,Top Flite Women's 2014 XL Hybrid,19.98999977,32,Golf Apparel,6,Outdoors,0
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,119.9899979,32,Golf Apparel,6,Outdoors,0
715,TaylorMade Women's RBZ SL Rescue,129.9900055,32,Golf Apparel,6,Outdoors,0
724,LIJA Women's Mid-Length Panel Golf Shorts,100.0,33,Golf Shoes,6,Outdoors,0
725,LIJA Women's Button Golf Dress,108.0,33,Golf Shoes,6,Outdoors,0
728,LIJA Women's Eyelet Sleeveless Golf Polo,65.0,33,Golf Shoes,6,Outdoors,0
730,LIJA Women's Argyle Golf Polo,80.0,33,Golf Shoes,6,Outdoors,0
743,Ogio Race Golf Shoes,169.9900055,34,Golf Bags & Carts,6,Outdoors,0
768,Titleist Club Glove Travel Cover,299.9899902,35,Golf Gloves,6,Outdoors,0
771,Clicgear Rovic Cooler Bag,39.99000168,35,Golf Gloves,6,Outdoors,0
773,Titleist Small Wheeled Travel Cover,249.9900055,35,Golf Gloves,6,Outdoors,0
775,Clicgear 8.0 Shoe Brush,9.989999771,35,Golf Gloves,6,Outdoors,0
777,Bag Boy M330 Push Cart,79.98999786,35,Golf Gloves,6,Outdoors,0
778,Bag Boy Beverage Holder,24.98999977,35,Golf Gloves,6,Outdoors,0
786,TaylorMade 2014 Purelite Stand Bag,179.9900055,35,Golf Gloves,6,Outdoors,0
792,Hirzl Men's Hybrid Golf Glove,14.98999977,36,Golf Balls,6,Outdoors,0
793,Hirzl Women's Hybrid Golf Glove,14.98999977,36,Golf Balls,6,Outdoors,0
797,Hirzl Women's Soffft Flex Golf Glove,17.98999977,36,Golf Balls,6,Outdoors,0
804,Glove It Women's Imperial Golf Glove,19.98999977,36,Golf Balls,6,Outdoors,0
810,Glove It Women's Mod Oval Golf Glove,19.98999977,36,Golf Balls,6,Outdoors,0
818,Titleist Pro V1x Golf Balls,47.99000168,37,Electronics,6,Outdoors,0
821,Titleist Pro V1 High Numbers Personalized Gol,51.99000168,37,Electronics,6,Outdoors,0
822,Titleist Pro V1x High Numbers Golf Balls,47.99000168,37,Electronics,6,Outdoors,0
823,Titleist Pro V1x High Numbers Personalized Go,51.99000168,37,Electronics,6,Outdoors,0
825,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,37,Electronics,6,Outdoors,0
828,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,37,Electronics,6,Outdoors,0
835,Bridgestone e6 Straight Distance NFL Carolina,31.98999977,37,Electronics,6,Outdoors,0
845,Garmin Approach S4 Golf GPS Watch,299.9899902,38,Kids' Golf Clubs,6,Outdoors,0
858,GolfBuddy VT3 GPS Watch,199.9900055,38,Kids' Golf Clubs,6,Outdoors,0
860,Bushnell Pro X7 Jolt Slope Rangefinder,599.9899902,38,Kids' Golf Clubs,6,Outdoors,0
885,Team Golf St. Louis Cardinals Putter Grip,24.98999977,40,Accessories,6,Outdoors,0
886,Team Golf San Francisco Giants Putter Grip,24.98999977,40,Accessories,6,Outdoors,0
893,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,40,Accessories,6,Outdoors,0
897,Team Golf New England Patriots Putter Grip,24.98999977,40,Accessories,6,Outdoors,0
905,Team Golf Texas Longhorns Putter Grip,24.98999977,40,Accessories,6,Outdoors,0
906,Team Golf Tennessee Volunteers Putter Grip,24.98999977,40,Accessories,6,Outdoors,0
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,41,Trade-In,6,Outdoors,0
924,Glove It Urban Brick Golf Towel,15.98999977,41,Trade-In,6,Outdoors,0
926,Glove It Imperial Golf Towel,15.98999977,41,Trade-In,6,Outdoors,0
957,Diamondback Women's Serene Classic Comfort Bi,299.980011,43,Camping & Hiking,7,Fan Shop,0
977,ENO Atlas Hammock Straps,29.98999977,44,Hunting & Shooting,7,Fan Shop,0
981,The North Face Women's Recon Backpack,99.0,44,Hunting & Shooting,7,Fan Shop,0
982,insta-bed Neverflat Air Mattress,149.9900055,44,Hunting & Shooting,7,Fan Shop,0
1004,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,45,Fishing,7,Fan Shop,0
1014,O'Brien Men's Neoprene Life Vest,49.97999954,46,Indoor/Outdoor Games,7,Fan Shop,0
1059,Pelican Maverick 100X Kayak,349.9899902,48,Water Sports,7,Fan Shop,0
1073,Pelican Sunstream 100 Kayak,199.9900055,48,Water Sports,7,Fan Shop,0
1346,Sports Books ,31.07999992,59,Books,8,Book Shop,0
1347,Baby sweater,59.08000183,60,Baby,4,Apparel,0
1348,CDs of rock,11.28999996,61,CDs,9,Discs Shop,0
1349,Web Camera,452.0400085,62,Cameras,10,Technology,0
1350,Children's heaters,357.1000061,63,Children's Clothing,4,Apparel,0
1351,Dell Laptop,1500.0,64,Computers,10,Technology,0
1352,Industrial consumer electronics,252.8800049,65,Consumer Electronics,10,Technology,0
1353,Porcelain crafts,461.480011,66,Crafts,4,Apparel,0
1354,DVDs ,164.3800049,67,DVDs,9,Discs Shop,0
1355,Lawn mower,532.5800171,68,Garden,6,Outdoors,0
1356,First aid kit,293.0400085,69,Health and Beauty,12,Health and Beauty,0
1357,Men's gala suit,210.8500061,70,Men's Clothing,4,Apparel,0
1358,Rock music,260.6499939,71,Music,9,Discs Shop,0
1359,Adult dog supplies,84.40000153,72,Pet Supplies,11,Pet Shop,0
1360,Smart watch ,327.75,73,Sporting Goods,2,Fitness,0
1361,Toys ,11.53999996,74,Toys,7,Fan Shop,0
1362,Fighting video games,39.75,75,Video Games,9,Discs Shop,0
1363,Summer dresses,215.8200073,76,Women's Clothing,4,Apparel,0
