Order_Item_ID,Order_ID,Shipping_Mode_ID,Order_Date,Shipping_Date,Days_Shipping_Actual,Days_Shipping_Scheduled,Delivery_Status,Late_Delivery_Risk,Shipping_Delay_Days
110090,44074,SHP-4,2016-10-05,2016-10-10,5,4,Late delivery,1,1
124661,49857,SHP-4,2016-12-28,2016-12-31,3,4,Advance shipping,0,-1
104311,41786,SHP-4,2016-09-01,2016-09-03,2,4,Advance shipping,0,-2
120131,48042,SHP-4,2016-12-02,2016-12-05,3,4,Advance shipping,0,-1
110620,44301,SHP-4,2016-10-08,2016-10-10,2,4,Advance shipping,0,-2
103815,41591,SHP-4,2016-08-30,2016-09-01,2,4,Advance shipping,0,-2
112334,44981,SHP-4,2016-10-18,2016-10-20,2,4,Advance shipping,0,-2
103704,41545,SHP-4,2016-08-29,2016-09-04,6,4,Late delivery,1,2
124779,49910,SHP-4,2016-12-29,2017-01-04,6,4,Late delivery,1,2
48976,19590,SHP-4,2015-10-13,2015-10-19,6,4,Late delivery,1,2
109018,43650,SHP-4,2016-09-29,2016-10-05,6,4,Late delivery,1,2
38024,15202,SHP-4,2015-08-10,2015-08-13,3,4,Advance shipping,0,-1
38639,15462,SHP-4,2015-08-14,2015-08-17,3,4,Advance shipping,0,-1
37908,15155,SHP-4,2015-08-10,2015-08-16,6,4,Late delivery,1,2
161109,64451,SHP-4,2017-07-29,2017-07-31,2,4,Advance shipping,0,-2
167556,67028,SHP-4,2017-09-05,2017-09-09,4,4,Shipping on time,0,0
155832,62336,SHP-4,2017-06-28,2017-06-30,2,4,Advance shipping,0,-2
28340,11334,SHP-4,2015-06-15,2015-06-20,5,4,Late delivery,1,1
157243,62885,SHP-4,2017-07-06,2017-07-12,6,4,Late delivery,1,2
167475,66998,SHP-4,2017-09-05,2017-09-09,4,4,Shipping on time,0,0
117458,47002,SHP-4,2016-11-17,2016-11-20,3,4,Advance shipping,0,-1
158605,63445,SHP-4,2017-07-15,2017-07-21,6,4,Late delivery,1,2
168920,67566,SHP-4,2017-09-13,2017-09-15,2,4,Advance shipping,0,-2
47235,18884,SHP-4,2015-10-03,2015-10-08,5,4,Late delivery,1,1
47141,18845,SHP-4,2015-10-03,2015-10-09,6,4,Late delivery,1,2
167108,66854,SHP-4,2017-09-02,2017-09-07,5,4,Late delivery,1,1
117346,46955,SHP-4,2016-11-16,2016-11-22,6,4,Late delivery,1,2
137558,55002,SHP-4,2017-03-13,2017-03-16,3,4,Advance shipping,0,-1
151253,60445,SHP-4,2017-06-01,2017-06-07,6,4,Late delivery,1,2
133933,53586,SHP-4,2017-02-21,2017-02-23,2,4,Advance shipping,0,-2
141623,56618,SHP-4,2017-04-06,2017-04-10,4,4,Shipping on time,0,0
129598,51865,SHP-4,2017-01-27,2017-02-02,6,4,Late delivery,1,2
7333,2937,SHP-4,2015-02-12,2015-02-15,3,4,Advance shipping,0,-1
136156,54446,SHP-4,2017-03-05,2017-03-07,2,4,Advance shipping,0,-2
146742,58623,SHP-4,2017-05-05,2017-05-09,4,4,Shipping on time,0,0
18572,7411,SHP-4,2015-04-19,2015-04-21,2,4,Advance shipping,0,-2
13366,5348,SHP-4,2015-03-20,2015-03-24,4,4,Shipping on time,0,0
149496,59742,SHP-4,2017-05-22,2017-05-25,3,4,Advance shipping,0,-1
148919,59498,SHP-4,2017-05-18,2017-05-22,4,4,Shipping on time,0,0
8590,3459,SHP-4,2015-02-20,2015-02-25,5,4,Late delivery,1,1
21144,8470,SHP-4,2015-05-04,2015-05-10,6,4,Late delivery,1,2
133575,53455,SHP-4,2017-02-19,2017-02-25,6,4,Late delivery,1,2
5047,2014,SHP-4,2015-01-30,2015-02-04,5,4,Late delivery,1,1
139774,55899,SHP-4,2017-03-26,2017-03-31,5,4,Late delivery,1,1
131429,52582,SHP-4,2017-02-06,2017-02-09,3,4,Advance shipping,0,-1
140631,56222,SHP-4,2017-03-31,2017-04-03,3,4,Advance shipping,0,-1
144695,57829,SHP-4,2017-04-24,2017-04-29,5,4,Late delivery,1,1
